"id","iata","icao","name"
3021,"3K",JSA,Jetstar Asia Airways
3026,LS,EXS,Jet2.com
3027,"8J",JFU,Jet4You
3029,B6,JBU,JetBlue Airways
3032,JF,JAF,Jetairfly
3052,JQ,JST,Jetstar Airways
3081,HO,DKH,Juneyao Airlines
3087,KD,KNI,KD Avia
3088,WA,KLC,KLM Cityhopper
3090,KL,KLM,KLM Royal Dutch Airlines
3097,RQ,KMF,Kam Air
3110,KV,MVD,Kavminvodyavia
3123,M5,KEN,Kenmore Air
3126,KQ,KQA,Kenya Airways
3142,IT,KFR,Kingfisher Airlines
3148,Y9,IRK,Kish Air
3157,"7K",KGL,Kogalymavia Air Company
3163,KE,KAL,Korean Air
3168,"7B",KJC,Krasnojarsky Airlines
3175,GW,KIL,Kuban Airlines
3179,KU,KAC,Kuwait Airways
3180,GO,KZU,Kuzu Airlines Cargo
3197,LR,LRC,LACSA
3200,LA,LAN,LAN Airlines
3201,"4M",DSM,LAN Argentina
3204,LU,LXP,LAN Express
3205,LP,LPE,LAN Peru
3210,LO,LOT,LOT Polish Airlines
3211,XO,LTE,LTE International Airways
3212,L3,LTO,LTU Austria
3233,QV,LAO,Lao Airlines
3239,NG,LDA,Lauda Air
3251,LI,LIA,Leeward Islands Air Transport
3258,LN,LAA,Libyan Arab Airlines
3287,LM,LAM,Linhas A
3290,JT,LNI,Lion Mentari Airlines
3319,HE,LGW,Luftfahrtgesellschaft Walter
3320,LH,DLH,Lufthansa
3321,LH,GEC,Lufthansa Cargo
3322,CL,CLH,Lufthansa CityLine
3326,L5,LTR,Lufttransport
3329,LG,LGL,Luxair
3342,MJ,LPR,L
3349,M7,MAA,MasAir
3350,IN,MAK,MAT Macedonian Airlines
3354,OM,MGL,MIAT Mongolian Airlines
3357,MB,MNB,MNG Airlines
3363,CC,MCK,Macair Airlines
3366,DM,"",Maersk
3370,W5,IRM,Mahan Air
3378,MH,MAS,Malaysia Airlines
3386,TF,SCW,Malmö Aviation
3387,R5,MAC,Malta Air Charter
3389,MA,MAH,Malév
3391,RI,MDL,Mandala Airlines
3392,AE,MDA,Mandarin Airlines
3393,JE,MNO,Mango
3411,MP,MPH,Martinair
3432,"8M",MXL,Maxair
3437,MW,MYD,Maya Island Air
3463,IG,ISS,Meridiana
3465,MZ,MNA,Merpati Nusantara Airlines
3466,YV,ASH,Mesa Airlines
3467,XJ,MES,Mesaba Airlines
3479,MX,MXA,Mexicana de Aviaci
3490,ME,MEA,Middle East Airlines
3494,JI,MDW,Midway Airlines
3497,YX,MEP,Midwest Airlines
3498,MY,MWA,Midwest Airlines (Egypt)
3529,"2M",MDV,Moldavian Airlines
3532,ZB,MON,Monarch Airlines
3534,"8I","",Myway Airlines
3539,YM,MGX,Montenegro Airlines
3545,"3R",GAI,Moskovia Airlines
3547,M9,MSI,Motor Sich
3568,VZ,MYT,MyTravel Airways
3569,UB,UBA,Myanma Airways
3570,"8M",MMM,Myanmar Airways International
3589,UE,NAS,Nasair
3608,NC,NJS,National Jet Systems
3613,CE,NTW,Nationwide Airlines
3618,ON,RON,Nauru Air Corporation
3637,RA,RNA,Nepal Airlines
3641,"1I",EJA,NetJets
3644,EJ,NEA,New England Airlines
3652,"2N",NTJ,NextJet
3661,HG,NLY,Niki
3674,DD,NOK,Nok Air
3721,U7,"",Northern Dene Airways
3731,NW,NWA,Northwest Airlines
3734,J3,PLR,Northwestern Air
3737,DY,NAX,Norwegian Air Shuttle
3740,BJ,LBT,Nouvel Air Tunisie
3743,"1I",NVR,Novair
3754,XY,KNE,Nas Air
3759,O8,OHK,Oasis Hong Kong Airlines
3764,O6,ONE,Oceanair
3765,O2,"",Oceanic Airlines
3776,OA,OAL,Olympic Airlines
3778,WY,OMA,Oman Air
3781,OY,OAE,Omni Air International
3788,"8Q",OHY,Onur Air
3805,R2,ORB,Orenburg Airlines
3811,OX,OEA,Orient Thai Airlines
3814,QO,OGN,Origin Pacific Airways
3822,OL,OLT,Ostfriesische Lufttransport
3826,OJ,OLA,Overland Airways
3831,O7,OZJ,Ozjet Airlines
3834,PV,PNR,PAN Air
3835,"9Q",PBA,PB Air
3839,PU,PUA,PLUNA
3840,U4,PMT,PMTair
3850,BL,PIC,Jetstar Pacific
3856,"8P",PCO,Pacific Coastal Airline
3857,Q8,PEC,Pacific East Asia Cargo Airlines
3865,LW,NMI,Pacific Wings
3871,PK,PIA,Pakistan International Airlines
3907,I7,PMW,Paramount Airways
3926,PC,PGT,Pegasus Airlines
3935,KS,PEN,Peninsula Airways
3952,PR,PAL,Philippine Airlines
3969,PI,PDT,Piedmont Airlines (1948-1989)
3976,"9E",FLG,Pinnacle Airlines
4013,PH,PAO,Polynesian Airlines
4021,PD,POE,Porter Airlines
4022,NI,PGA,Portugalia
4026,BK,PDC,Potomac Air
4031,PW,PRF,Precision Air
4066,P0,"",Proflight Commuter Services
4089,QF,QFA,Qantas
4091,QR,QTR,Qatar Airways
4106,R6,"",RACSA
4177,FN,"",Regional Airlines
4178,ZL,RXA,Regional Express
4187,RW,RPA,Republic Airlines
4188,RH,RPH,Republic Express Airlines
4232,R4,"",Rossiya
4234,GZ,RAR,Air Rarotonga
4248,AT,RAM,Royal Air Maroc
4255,BI,RBA,Royal Brunei Airlines
4259,RJ,RJA,Royal Jordanian
4264,RA,RNA,Royal Nepal Airlines
4292,WB,RWD,Rwandair Express
4295,RD,RYN,Ryan International Airlines
4296,FR,RYR,Ryanair
4299,YS,RAE,Régional
4304,S4,RZO,SATA International
4305,SA,SAA,South African Airways
4311,NL,SAI,Shaheen Air International
4319,SK,SAS,Scandinavian Airlines System
4329,S7,SBI,S7 Airlines
4335,BB,SBS,Seaborne Airlines
4349,UL,ALK,SriLankan Airlines
4356,SY,SCX,Sun Country Airlines
4374,G3,SEH,Sky Express
4375,SG,SEJ,Spicejet
4388,"7G",SFJ,Star Flyer
4411,N5,SGY,Skagway Air Service
4429,SP,SAT,SATA Air Acores
4435,SQ,SIA,Singapore Airlines
4436,"5M",SIB,Sibaviatrans
4438,SI,SIH,Skynet Airlines
4454,SJ,SJY,Sriwijaya Air
4455,ZS,SMY,Sama Airlines
4464,SQ,SQC,Singapore Airlines Cargo
4469,FT,SRH,Siem Reap Airways
4475,DG,SRQ,South East Asian Airlines
4496,"5G",SSV,Skyservice Airlines
4513,FS,STU,Servicios de Transportes A
4521,SD,SUD,Sudan Airways
4533,SV,SVA,Saudi Arabian Airlines
4547,WN,SWA,Southwest Airlines
4550,A4,SWD,Southern Winds Airlines
4559,LX,SWR,Swiss International Air Lines
4560,SR,SWR,Swissair
4564,WV,SWV,Swe Fly
4573,XQ,SXS,SunExpress
4586,RB,SYR,Syrian Arab Airlines
4589,AL,SYX,Skywalk Airlines
4599,SC,CDG,Shandong Airlines
4607,"9S",CQH,Spring Airlines
4608,"3U",CSC,Sichuan Airlines
4609,FM,CSH,Shanghai Airlines
4611,ZH,CSZ,Shenzhen Airlines
4619,"7L",ERO,Sun D'Or
4620,NE,ESK,SkyEurope
4652,JK,JKK,Spanair
4687,NK,NKS,Spirit Airlines
4691,"9R",NSE,SATENA
4735,S3,BBR,Santa Barbara Airlines
4737,H2,SKU,Sky Airline
4738,OO,SKW,SkyWest
4739,JZ,SKX,Skyways Express
4740,BC,SKY,Skymark Airlines
4750,MI,SLK,SilkAir
4752,PY,SLM,Surinam Airways
4776,NB,SNB,Sterling Airlines
4781,"6J",SNJ,Skynet Asia Airways
4797,IE,SOL,Solomon Airlines
4805,"6W",SOV,Saratov Aviation Division
4808,HZ,SOZ,Sat Airlines
4822,S5,TCF,Shuttle America
4840,DV,VSV,Scat Air
4863,EQ,TAE,TAME
4867,JJ,TAM,TAM Brazilian Airlines
4869,TP,TAP,TAP Portugal
4870,TU,TAR,Tunisair
4889,T2,TCG,Thai Air Cargo
4896,FQ,TCW,Thomas Cook Airlines
4897,MT,TCX,Thomas Cook Airlines
4936,TR,TGW,Tiger Airways
4937,TT,TGW,Tiger Airways Australia
4940,TG,THA,Thai Airways International
4947,FD,AIQ,Thai AirAsia
4951,TK,THY,Turkish Airlines
4965,T7,TJT,Twin Jet
4981,TL,TMA,Trans Mediterranean Airlines
5002,"3P",TNM,Tiara Air
5013,BY,TOM,Thomsonfly
5016,PM,TOS,Tropic Air
5020,QT,TPA,TAMPA
5038,GE,TNA,TransAsia Airways
5039,HV,TRA,Transavia Holland
5041,VR,TCV,TACV
5064,"9T",ABS,Transwest Air
5067,UN,TSO,Transaero Airlines
5083,T5,TUA,Turkmenistan Airlines
5085,UG,TUI,Tuninter
5097,QS,TVS,Travel Service
5122,"6B",BLX,TUIfly Nordic
5133,DT,DTA,TAAG Angola Airlines
5156,PZ,LAP,TAM Mercosur
5160,AX,LOF,Trans States Airlines
5179,RO,ROT,Tarom
5187,"3T",URN,Turan Air
5188,"8R",TIB,TRIP Linhas A
5207,U5,GWY,USA3000 Airlines
5209,UA,UAL,United Airlines
5234,U6,SVR,Ural Airlines
5251,UF,UKM,UM Airlines
5265,US,USA,US Airways
5271,UT,UTA,UTair Aviation
5281,HY,UZB,Uzbekistan Airways
5282,PS,AUI,Ukraine International Airlines
5284,UH,"",US Helicopter Corporation
5297,VF,VLU,Valuair
5309,VN,HVN,Vietnam Airlines
5311,NN,MOV,VIM Airlines
5325,Y4,VOI,Volaris
5326,VI,VDA,Volga-Dnepr Airlines
5331,VX,VRD,Virgin America
5333,TV,VEX,Virgin Express
5335,VK,VGN,Virgin Nigeria Airways
5347,VS,VIR,Virgin Atlantic Airways
5350,ZG,VVM,Viva Macau
5351,VE,VLE,Volare Airlines
5352,VY,VLG,Vueling Airlines
5353,XF,VLK,Vladivostok Air
5354,LC,VLO,Varig Log
5360,VA,VOZ,Virgin Australia
5368,RG,VRN,VRG Linhas Aereas
5373,VP,VSP,VASP
5383,VG,VLM,VLM Airlines
5397,"7W","",Wayraper
5399,WJ,WEB,WebJet Linhas A
5401,"2W",WLC,Welcome Air
5411,"8O","",West Coast Air
5416,WS,WJA,WestJet
5424,WA,WAL,Western Airlines
5439,WF,WIF,Widerøe
5447,IV,JET,Wind Jet
5451,IW,WON,Wings Air
5461,W6,WZZ,Wizz Air
5462,"8Z",WVL,Wizz Air Hungary
5465,WO,WOA,World Airways
5479,SE,SEU,XL Airways France
5484,MF,CXA,Xiamen Airlines
